"Region","SiteCode","TidalHeight","Transect","prev","sev","lesion","count","percent","BladeArea.cm2"
"AK","A","L","4",1,0.307211525172679,602.25132864,20,1,20.34153292885
"AK","A","L","5",0.7,0.0146999868204538,50.3796502428,20,1,29.2280804938925
"AK","A","L","6",0.85,0.196882909029485,239.4324547561,20,1,12.160901105632
"AK","A","U","1",0.5,0.0284800807960818,12.53088193035,20,1,3.60917331945
"AK","A","U","2",0.45,0.0119849923465989,6.5392487788,20,1,5.896
"AK","A","U","3",0.45,0.043099139253005,24.22373240505,20,1,3.821659257375
"AK","B","L","4",0.2,0.0051555892374696,8.44486139025,20,1,19.80775933642
"AK","B","L","5",0.1,0.000885444201641754,1.23886814145,20,1,30.7804460644
"AK","B","L","6",0.15,0.000473653132346462,1.5976910371,20,1,33.3900658930725
"AK","B","U","1",0.7,0.019007647065881,58.07454754695,20,1,27.316928397124
"AK","B","U","2",0.45,0.00639030939104543,22.75459637945,20,1,30.012717574
"AK","B","U","3",0.45,0.0130239784079727,48.2798585139,20,1,33.2607045031
"AK","C","L","4",0.48,0.0251235727054858,33.09077851248,25,1.25,22.4397359096652
"AK","C","L","5",0.45,0.00999942912856918,26.27980465455,20,1,25.408111606045
"AK","C","L","6",0.35,0.00734448640128301,28.0552463369,20,1,32.97968245485
"AK","C","U","1",0.45,0.0471813043463084,106.3523412875,20,1,24.27698628236
"AK","C","U","2",0.7,0.0429538572948885,62.2436979295,20,1,15.415216820027
"AK","C","U","3",0.45,0.0252300752444835,51.8742818156,20,1,27.545966747266
"AK","D","L","4",0.7,0.119694021930891,270.726982176,20,1,20.8378341715
"AK","D","L","5",0.6,0.0292265739677239,60.90850330015,20,1,22.912406097305
"AK","D","L","6",0.875,0.00656092873751764,17.142725689,16,0.8,28.1539943622075
"AK","D","U","1",0.95,0.124009805885854,188.763645511,20,1,15.5335
"AK","D","U","2",0.95,0.137583906719265,338.213875312,20,1,22.98707903635
"AK","D","U","3",1,0.0896554942065421,216.7549734362,20,1,23.4685
"AK","E","L","4",0.8,0.196111687158844,420.710015104,20,1,18.89171883045
"AK","E","L","5",0.789473684210526,0.0763533146855812,115.054090621263,19,0.95,12.6595882536342
"AK","E","L","6",0.65,0.154237077852547,135.3034329175,20,1,9.754674949905
"AK","E","U","1",0.5,0.0559959906256332,38.5069843404,20,1,7.29073089624
"AK","E","U","2",0.75,0.0995563048309079,70.7950301663,20,1,7.44771897444
"AK","E","U","3",0.7,0.109677521964197,93.40150100345,20,1,7.69762600545
"AK","F","L","4",0.4,0.0471891006890289,69.37760342,20,1,12.24036318555
"AK","F","L","5",0.6,0.153594804876592,128.12598749925,20,1,6.6356383582275
"AK","F","L","6",0.55,0.0489479481236209,33.54549698635,20,1,8.39951457929
"AK","F","U","1",0.4,0.0757005460991215,94.4757253705,20,1,11.99512248645
"AK","F","U","2",0.75,0.144254824166113,99.98868859105,20,1,7.185748348155
"AK","F","U","3",1,0.274477102937455,178.21109235785,20,1,6.79569548978
"BC","A","L","4",0.35,0.0441049573942096,95.0510808667,20,1,28.955561189557
"BC","A","L","5",0.7,0.0306463734211596,84.68390907545,20,1,27.8073182268645
"BC","A","L","6",0.35,0.0439866959129385,90.4609846329,20,1,30.361146581429
"BC","A","U","1",0.3,0.0436598701926124,52.75746912015,20,1,15.2389240169115
"BC","A","U","2",0.25,0.0366400219779313,45.8075983903,20,1,13.662478382643
"BC","A","U","3",0.9,0.124535196941513,297.30932206675,20,1,26.6464836255275
"BC","B","L","4",0.3,0.0256413490183467,101.466173515,20,1,66.845
"BC","B","L","5",0.45,0.0292686878781478,177.69444840825,20,1,63.3775
"BC","B","L","6",0.4,0.000865630330469247,5.073188832,20,1,58.26035175782
"BC","B","U","1",0.35,0.0331123533570726,194.14051277,20,1,63.369
"BC","B","U","2",0.15,0.00217002647128143,8.3448542085,20,1,44.5975
"BC","B","U","3",0.05,0.000528403420258621,2.45179187,20,1,57.512
"BC","C","L","4",0.55,0.0851344545489615,247.0198937246,20,1,29.386307024746
"BC","C","L","5",0.4,0.0586824482418653,142.2764650905,20,1,28.227800237005
"BC","C","L","6",0.55,0.0864294172833818,306.5765943479,20,1,35.090245403129
"BC","C","U","1",0.1,0.00223741715423979,1.8419635164,20,1,10.767215059864
"BC","C","U","2",0.05,0.00200946438366418,2.048621086,20,1,11.88050136516
"BC","C","U","3",0.3,0.0218262299311461,23.4672148782,20,1,11.692928900432
"BC","D","L","4",0.1,0.00256751318687184,6.3914823313,20,1,23.797301422013
"BC","D","L","5",0.4,0.0860134544930611,303.5340958035,20,1,29.381489227285
"BC","D","L","6",0.2,0.000222779729331507,0.5551565642,20,1,27.258516625642
"BC","D","U","1",0.25,0.0174812845738959,19.7268205983,20,1,12.438057095933
"BC","D","U","2",0.3,0.0785605086649504,29.133510482,20,1,6.78635668616
"BC","D","U","3",0.25,0.0356867633480839,28.66318945795,20,1,9.7696859020295
"BC","E","L","4",0.5,0.139026373933147,217.48105788935,20,1,15.4354499789935
"BC","E","L","5",0.5,0.0568391811160422,126.94969119665,20,1,19.7159370875165
"BC","E","L","6",0.4,0.0625118966686514,79.80402540105,20,1,12.9862098168705
"BC","E","U","1",0.25,0.026133850513213,5.6135090492,20,1,2.054597026807
"BC","E","U","2",0.5,0.138300763332166,71.180964527,20,1,3.783376975025
"BC","E","U","3",0.210526315789474,0.00818955117358773,4.56566851652632,19,0.95,3.95233447742842
"WA","A","L","4",0.95,0.0759098134849791,293.59460283755,20,1,38.8152703983755
"WA","A","L","5",0.9,0.129807567563859,636.925542228,20,1,47.46201163378
"WA","A","L","6",0.85,0.0490083245121399,253.0433962995,20,1,48.532921574495
"WA","A","U","1",0.35,0.00941342492215985,36.17333381195,20,1,34.2730052421195
"WA","A","U","2",0.3,0.0114062646456168,39.4499605002,20,1,39.131289500502
"WA","A","U","3",0.15,0.000238080554661861,1.1121085895,20,1,34.992408791895
"WA","B","L","4",0.6,0.0413131608991513,319.53021762385,20,1,64.3426430997385
"WA","B","L","5",0.5,0.0142737064790807,108.2301242403,20,1,65.970248312703
"WA","B","L","6",0.55,0.0210103038993606,141.95310255675,20,1,58.0406402620675
"WA","B","U","1",0.8,0.0362459504713111,160.54393493455,20,1,44.8643250863455
"WA","B","U","2",0.6,0.0294986733941864,106.5538817917,20,1,42.396742135917
"WA","B","U","3",0.5,0.0281993977196318,172.7750646486,20,1,56.526045856486
"WA","C","L","4",1,0.260066608858491,907.828588326316,19,0.95,34.284093916421
"WA","C","L","5",1,0.258105506853038,1031.04980614,20,1,39.54053163615
"WA","C","L","6",0.95,0.138021459532312,593.879362953,20,1,41.22112180423
"WA","C","U","1",1,0.516325564749077,1461.35934366,20,1,28.4455203253
"WA","C","U","2",1,0.354576379177405,990.52131215,20,1,27.4241947357
"WA","C","U","3",1,0.286366075608386,1055.6088409195,20,1,35.013140082195
"WA","D","L","4",0.894736842105263,0.0839713663318533,355.427962306632,19,0.95,37.7014531898084
"WA","D","L","5",0.714285714285714,0.0365801558063233,126.083090537905,21,1.05,31.94988652646
"WA","D","L","6",0.95,0.0377028573497325,141.2932706305,20,1,35.035744041305
"WA","D","U","1",0.928571428571429,0.0934648145771678,244.350196985714,14,0.7,24.9808065203571
"WA","D","U","2",0.9,0.0562173077351859,164.08458417215,20,1,25.2181144072215
"WA","D","U","3",0.947368421052632,0.107866518253989,237.651669215053,19,0.95,22.8812281718105
"WA","E","L","4",0.35,0.00672899319875039,69.6477305318,20,1,98.614458846318
"WA","E","L","5",0.75,0.00700717791633986,74.5575086198,20,1,97.649823153698
"WA","E","L","6",0.7,0.0268705217117306,229.66128626205,20,1,91.3019893771205
"WA","E","U","1",0.6,0.00715851695871023,33.50895934975,20,1,43.9249218969975
"WA","E","U","2",0.45,0.0124715444212023,67.7166223768,20,1,42.483313882268
"WA","E","U","3",0.35,0.0158867874380271,63.392344155,20,1,36.33954413165
"OR","A","L","4",0.0526315789473684,2.1710409887842e-05,0.362872132947368,19,0.95,93.2747894736842
"OR","A","L","5",0,0,0,20,1,633.337
"OR","A","L","6",0,0,0,20,1,698.8368
"OR","A","U","1",0.157894736842105,0.00356469431188345,15.9789420789474,19,0.95,45.6864210526316
"OR","A","U","2",0.15,0.00393754826789573,12.83808532,20,1,37.2388
"OR","A","U","3",0.315789473684211,0.0198480980191966,50.9703994615789,19,0.95,33.8137368421053
"OR","B","L","4",0,0,0,20,1,966.5735
"OR","B","L","5",0,0,0,20,1,977.435
"OR","B","L","6",0,0,0,20,1,753.29275
"OR","B","U","1",0.45,0.000969103780833582,23.83743895255,20,1,260.0765
"OR","B","U","2",0.6,0.00831092419906271,84.63579072825,20,1,163.859
"OR","B","U","3",0.05,0.00064792298828125,12.440121375,20,1,196.6165
"OR","C","L","4",0.15,0.0024287864613038,31.63018888,20,1,806.282
"OR","C","L","5",0.1,7.64293608327069e-05,8.051475869,20,1,889.1875
"OR","C","L","6",0,0,0,20,1,1018.5835
"OR","C","U","1",0.25,0.00170365039683552,41.3077240735,20,1,534.165
"OR","C","U","2",0.25,0.00179197721209022,22.9881858635,20,1,619.6465
"OR","C","U","3",0.4,0.0015287431237784,47.03228239215,20,1,584.214
"OR","D","L","4",0.2,0.000191621879117528,25.1530630555,20,1,900.9965
"OR","D","L","5",0.4,0.000469403563939947,17.5063738886,20,1,841.2565
"OR","D","L","6",0.15,0.000108264657372752,10.24912022455,20,1,935.476
"OR","D","U","1",0.45,0.00422867127572823,65.11024130965,20,1,521.398
"OR","D","U","2",0.45,0.00246965284391173,45.181521114,20,1,529.11
"OR","D","U","3",0.5,0.00586092193624934,53.3707986208,20,1,408.1415
"OR","E","L","4",0.4,0.00023071067117328,12.87273771725,20,1,725.177
"OR","E","L","5",0.4,0.00010064907270818,4.34007828265,20,1,774.3655
"OR","E","L","6",0,0,0,19,0.95,787.768947368421
"OR","E","U","1",0.05,0.000235986088541667,0.7022945995,20,1,405.2705
"OR","E","U","2",0.25,0.000557269180758215,5.93175452425,20,1,415.0055
"OR","E","U","3",0.15,0.000230535481298333,3.92667336965,20,1,403.3285
"BB","A","L","4",0.9,0.0125295853910292,113.0010234148,20,1,92.2725
"BB","A","L","5",0.7,0.0146579316603415,164.9741453509,20,1,91.0135
"BB","A","L","6",0.65,0.0194214254195012,201.25718187,20,1,94.1755
"BB","A","U","1",0.833333333333333,0.0241458937706986,94.8010429628889,18,0.9,37.89
"BB","A","U","2",0.75,0.0361617377304737,96.9456513907,20,1,26.093188236175
"BB","A","U","3",0.85,0.0241321052703925,48.42214880735,20,1,17.726055623162
"BB","B","L","4",0.8,0.0164739231825326,119.22274490915,20,1,72.1775
"BB","B","L","5",0.85,0.0144085173774549,117.74445202725,20,1,89.461
"BB","B","L","6",0.7,0.0249138870702518,151.86521474015,20,1,59.8921492028
"BB","B","U","1",0.8,0.0770563426408546,351.9920640561,20,1,51.27640821585
"BB","B","U","2",0.9,0.0548754316757285,303.3161268187,20,1,59.786
"BB","B","U","3",0.7,0.0675257418467258,348.4500682228,20,1,67.593
"BB","C","L","4",0.95,0.027168601049703,38.69478957645,20,1,20.89718776935
"BB","C","L","5",0.55,0.0108247420147574,30.59393852705,20,1,23.095
"BB","C","L","6",0.5,0.0155941193562342,55.90931125855,20,1,30.075
"BB","C","U","1",0.7,0.0263727654253995,30.16482332425,20,1,16.03187690315
"BB","C","U","2",0.65,0.030162757548299,29.1130422296,20,1,12.016679833565
"BB","C","U","3",0.75,0.0130879636084575,21.02709350815,20,1,18.342253375375
"BB","D","L","4",0.95,0.0715714199958089,719.914536063,20,1,96.8885
"BB","D","L","5",0.95,0.0491780920331744,470.86846453955,20,1,102.2445
"BB","D","L","6",0.9,0.0510490206037685,529.41521832935,20,1,93.7485
"BB","D","U","1",1,0.0667215813720289,449.0021725109,20,1,63.11825
"BB","D","U","2",0.9,0.0726094973927514,493.3128949755,20,1,59.02125
"BB","D","U","3",0.894736842105263,0.116865649425464,706.391841415263,19,0.95,61.5768421052632
"BB","E","L","4",0.15,6.76775815519728e-05,0.20306664755,20,1,25.748832735
"BB","E","L","5",0,0,0,20,1,26.767
"BB","E","L","6",0.1,0.0134619662300524,26.3689492955,20,1,25.118
"BB","E","U","1",0,0,0,20,1,21.6655
"BB","E","U","2",0.4,0.00433899872204082,9.3590203967,20,1,22.2965
"BB","E","U","3",0.15,0.00132392646991115,4.66362036775,20,1,24.80025
"BB","F","L","4",1,0.107130644602457,456.5637568095,20,1,42.9805
"BB","F","L","5",0.95,0.159318424064858,440.7398197188,20,1,33.1275
"BB","F","L","6",0.9,0.027695994195669,87.6887927311,20,1,27.158
"BB","F","U","1",1,0.0370170112541088,53.9703030714,20,1,15.5725
"BB","F","U","2",0.9,0.0311080399171386,50.99208201965,20,1,16.111671143348
"BB","F","U","3",0.95,0.0349235731681721,61.49310543385,20,1,15.663
"SD","A","L","4",0.5,0.0813794553658775,13.4896357005,16,0.8,1.57825741521125
"SD","A","L","5",0.5625,0.0352263057363134,4.1494227585625,16,0.8,0.999488293560625
"SD","A","L","6",0.375,0.0373326527856518,6.9367638609375,16,0.8,1.39869335330938
"SD","A","U","1",0.5,0.0472099129153288,3.783036483625,16,0.8,1.05067688881125
"SD","A","U","2",0.625,0.0783809457750379,8.185955903375,16,0.8,1.04600195705875
"SD","A","U","3",0.5625,0.107536928696643,10.9453551430625,16,0.8,1.26609743073688
"SD","B","L","4",1,0.398820135622132,89.9395827386875,16,0.8,2.15510988218688
"SD","B","L","5",0.75,0.31859862810336,34.061467612625,16,0.8,1.09904997668875
"SD","B","L","6",0.6875,0.268647337955478,51.6441934809375,16,0.8,1.62799168717187
"SD","B","U","1",0.5625,0.158688982433741,19.773300596375,16,0.8,1.13912691217
"SD","B","U","2",0.3125,0.0849034567093831,8.41397945925,16,0.8,1.17205117956125
"SD","B","U","3",0.6875,0.0845114637210123,13.534073362625,16,0.8,1.05425771153875
"SD","C","L","4",0.6875,0.0259556354824107,10.5987189385625,16,0.8,3.42557589407313
"SD","C","L","5",0.5625,0.0552455670839202,19.400742422625,16,0.8,2.8932811602325
"SD","C","L","6",0.5625,0.0319662062108374,8.70125323225,16,0.8,3.2932919329475
"SD","C","U","1",0.5625,0.0588908765368525,14.0039230800625,16,0.8,2.14319250927562
"SD","C","U","2",0.875,0.0924417242070821,27.297292444875,16,0.8,3.1034196799675
"SD","C","U","3",0.5,0.0401557996270791,11.8347816716875,16,0.8,2.71600967751688
"SD","D","L","4",0.466666666666667,0.010732123791037,2.1492866034,15,0.75,1.737740591734
"SD","D","L","5",0.5,0.0376769276313746,6.773152470625,16,0.8,1.84892317219375
"SD","D","L","6",0.1875,0.0212343970645484,3.679460823125,16,0.8,1.9503454017875
"SD","D","U","1",0.3125,0.00276947977814673,0.5683756464375,16,0.8,1.67574646284563
"SD","D","U","2",0.266666666666667,0.0341182004934506,5.59525519486667,15,0.75,1.23997893333533
"SD","D","U","3",0.375,0.055708663576561,3.9449646298125,16,0.8,1.09354576627312
"SD","E","L","4",0.75,0.0985418087236015,10.81327653675,16,0.8,1.10394148592375
"SD","E","L","5",0.4375,0.0524435899833587,4.32145037325,16,0.8,0.88489860133875
"SD","E","L","6",0.5,0.0717230148303624,11.6653350323125,16,0.8,1.87627365509188
"SD","E","U","1",0.4375,0.0597266454986848,4.881522012,16,0.8,0.703947545606875
"SD","E","U","2",0.4375,0.0471510302624377,2.652681521375,16,0.8,0.60939183242625
"SD","E","U","3",0.375,0.102615646565346,8.447083273625,16,0.8,0.61473108482375
